u,p95_ms,phi,raw_cost,LCI,date,family,gpu
0.4,30301.546042251764,0.7110328337346458,0.0018810226475324619,0.0026454793060012908,2023-07-01,QA,A100-40GB
0.5,31033.53830105093,0.7076464869995139,0.001496392287046524,0.0021146042756339605,2023-07-01,QA,A100-40GB
0.6,31358.288319853324,0.7061746841542581,0.0012503272839053594,0.001770563731554324,2023-07-01,QA,A100-40GB
0.7,33702.40429696687,0.6960660274645231,0.0010717296759400045,0.0015396954220619943,2023-07-01,QA,A100-40GB
0.78,36675.75203287715,0.6843949704333432,0.0009651130666749933,0.0014101697241636739,2023-07-01,QA,A100-40GB
0.84,42134.725459249086,0.6656632501745061,0.0008915430449572344,0.0013393304267938977,2023-07-01,QA,A100-40GB
0.88,41806.899003234816,0.6667039432745288,0.0008548380563209394,0.0012821853911983577,2023-07-01,QA,A100-40GB
0.92,56979.04193748503,0.6266709836955779,0.0008160537179918574,0.0013022044090496413,2023-07-01,QA,A100-40GB
0.95,74150.78830205588,0.5945104055761051,0.0007911825600584201,0.001330813645375528,2023-07-01,QA,A100-40GB
0.4,60603.09208450353,0.5924826427599558,0.0037620452950649238,0.006349629547863591,2023-07-01,Code,A100-40GB
0.5,62067.07660210186,0.5896608993067617,0.002992784574093048,0.0050754333170327775,2023-07-01,Code,A100-40GB
0.6,62716.57663970665,0.5884344892553653,0.0025006545678107187,0.004249673690906821,2023-07-01,Code,A100-40GB
0.7,67404.80859393375,0.5800112436841733,0.002143459351880009,0.0036955479315624465,2023-07-01,Code,A100-40GB
0.78,73351.5040657543,0.5702860967177865,0.0019302261333499866,0.0033846627937436534,2023-07-01,Code,A100-40GB
0.84,84269.45091849817,0.5546775079527665,0.0017830860899144688,0.0032146356474694253,2023-07-01,Code,A100-40GB
0.88,83613.79800646963,0.5555446867480515,0.0017096761126418787,0.0030774772100686915,2023-07-01,Code,A100-40GB
0.92,113958.08387497006,0.5221864049894946,0.0016321074359837149,0.003125526479412174,2023-07-01,Code,A100-40GB
